right_elbow,left_elbow,right_shoulder,left_shoulder,right_hip,left_hip,right_knee,left_knee,right_ankle,left_ankle
179,176,10,6,173,179,178,174,168,164
178,175,8,7,172,177,180,176,158,162
176,174,8,8,172,176,180,177,158,160
177,176,8,8,174,176,178,177,156,160
174,173,8,8,174,176,178,177,156,160
172,172,8,7,175,176,178,178,153,161
172,172,8,8,176,175,177,178,159,160
171,171,8,8,175,175,178,177,153,155
170,168,9,6,175,177,178,176,159,154
170,166,8,7,176,175,178,176,156,157
169,165,9,7,174,176,178,175,162,156
166,164,9,8,173,176,179,176,161,161
167,168,10,9,173,175,179,176,162,156
161,165,9,9,173,176,179,176,162,161
159,155,10,8,173,175,178,176,160,153
162,155,11,8,173,175,178,178,155,162
157,131,10,8,171,175,179,177,155,161
123,88,10,10,172,175,179,177,162,161
95,71,8,11,172,174,179,178,162,157
81,60,9,10,172,174,179,179,162,161
57,47,9,11,172,173,179,178,162,162
55,44,10,11,173,174,179,178,161,162
32,32,11,11,172,174,179,178,161,162
22,28,12,12,173,175,179,178,161,162
19,25,13,12,173,176,178,178,160,162
12,20,13,10,173,176,178,178,160,163
10,16,11,9,173,176,178,177,162,162
8,14,12,9,173,175,178,178,160,165
8,11,12,9,173,176,177,177,154,162
5,10,12,9,172,175,177,178,159,163
6,8,13,9,172,176,177,178,159,158
6,7,12,9,173,175,176,178,161,158
7,6,13,9,174,175,176,178,161,160
7,8,14,10,173,176,176,178,159,158
8,7,13,10,173,175,176,179,159,158
8,7,13,10,174,175,176,179,160,158
7,7,13,10,174,176,176,177,160,159
8,6,13,11,173,176,176,178,160,157
8,6,13,11,173,176,176,177,160,159
9,7,13,11,173,176,176,178,160,159
9,8,13,11,173,176,176,178,161,159
8,8,13,10,173,176,176,178,160,159
8,6,13,10,173,176,177,178,166,159
8,7,13,10,174,176,176,178,166,163
8,7,13,10,175,176,176,178,166,163
7,7,14,10,175,176,177,178,166,163
6,8,13,10,173,176,178,178,167,163
6,8,13,9,173,175,178,178,167,163
4,9,13,9,172,176,177,178,161,163
3,12,12,9,172,176,178,178,167,163
3,14,11,9,172,176,178,178,167,163
6,18,13,10,172,176,179,178,162,164
3,20,12,9,171,177,178,178,163,165
9,23,11,9,172,176,178,178,163,164
23,36,10,11,172,175,178,178,163,162
51,57,10,14,171,176,179,178,168,164
85,65,9,12,171,174,179,179,164,163
92,81,10,12,172,174,178,178,163,162
125,128,6,10,171,176,179,177,163,162
165,154,10,10,171,176,179,177,164,164
152,155,10,9,170,176,179,177,169,162
163,151,10,7,170,176,180,177,164,162
160,160,9,9,170,175,180,178,164,168
166,158,10,8,171,175,180,178,164,163
161,157,10,8,171,176,180,178,164,168
164,161,10,7,171,177,180,177,164,168
165,164,9,7,171,177,179,177,162,163
166,166,9,8,172,177,178,177,162,163
169,166,10,8,172,177,178,177,161,163
169,167,10,8,172,178,177,177,162,165
171,168,10,8,172,178,177,177,161,163
171,169,11,8,173,178,177,177,160,158
171,167,10,7,173,178,177,177,161,168
169,168,9,7,173,178,177,177,161,163
170,170,9,7,174,177,175,178,160,164
169,170,7,7,175,176,175,179,160,164
169,172,7,7,175,177,175,179,160,159
170,171,8,7,175,176,175,179,160,164
171,172,8,7,176,177,173,178,155,159
170,173,8,8,176,176,174,179,160,164
171,173,8,8,176,175,175,179,161,159
172,173,8,8,176,175,175,179,162,155
173,173,8,8,175,176,177,178,163,156
174,173,8,8,175,174,177,179,162,161
173,174,7,8,175,174,177,179,162,156
172,174,7,7,174,174,176,179,167,156
172,174,6,7,175,174,175,179,161,156
173,174,6,8,175,173,175,179,166,158
174,174,6,8,175,173,175,179,165,159
173,175,6,8,176,173,175,180,165,156
174,174,6,8,177,172,175,179,165,156
173,175,6,8,175,173,176,180,158,156
174,175,6,7,175,174,177,180,166,156
174,175,6,8,176,174,176,180,160,161
174,175,6,7,176,174,176,180,160,156
174,175,6,8,176,173,176,179,160,161
174,175,6,8,176,173,175,179,159,161
174,175,6,8,175,174,176,180,160,161
174,175,6,8,175,174,176,179,160,155
174,175,6,8,176,174,176,179,160,155
174,175,6,8,176,174,176,179,160,160
174,175,6,8,176,174,176,179,160,157
174,175,6,8,176,174,176,179,160,157
176,175,7,8,175,174,177,179,160,155
176,175,7,8,175,174,177,179,161,155
175,174,7,7,176,174,177,179,161,155
175,173,7,7,177,175,175,179,161,157
174,173,7,7,176,176,175,177,161,160
173,173,6,7,175,175,176,177,160,161
173,173,7,6,177,177,175,177,160,159
